"Airline","AirlineID","SourceAirport","SourceID","DestAirport","DestID","Codeshare","Stops","Equipment"
"3H","\N","AKV","5506","YIK","5504","",0,"DH8"
"3H","\N","AKV","5506","YPX","6727","",0,"DH8"
"3H","\N","XGR","5512","YVP","154","",0,"DHT BET"
"3H","\N","YGL","62","YGW","5496","",0,"DHT"
"3H","\N","YGL","62","YPX","6727","",0,"73M"
"3H","\N","YGL","62","YUL","146","",0,"73M"
"3H","\N","YGW","5496","YGL","62","",0,"DHT"
"3H","\N","YGW","5496","YPH","5520","",0,"BET"
"3H","\N","YGW","5496","YSK","5529","",0,"DH8"
"3H","\N","YGW","5496","YUD","5515","",0,"DH8"
"3H","\N","YGW","5496","YUL","146","",0,"DH8"
"3H","\N","YGW","5496","YUY","149","",0,"DH8"
"3H","\N","YIK","5504","AKV","5506","",0,"DH8"
"3H","\N","YIK","5504","YZG","5535","",0,"DH8"
"3H","\N","YKG","5481","YPJ","5508","",0,"DHT DH8"
"3H","\N","YKG","5481","YQC","5499","",0,"DH8"
"3H","\N","YKG","5481","YVP","154","",0,"DH8 DHT"
"3H","\N","YKL","80","YQB","111","",0,"DH8"
"3H","\N","YKL","80","YVP","154","",0,"DH8 BET"
"3H","\N","YKL","80","YWK","161","",0,"BET"
"3H","\N","YKL","80","YZV","202","",0,"BET DH8"
"3H","\N","YPH","5520","YPX","6727","",0,"DH8 BET"
"3H","\N","YPH","5520","YUD","5515","",0,"DH8"
"3H","\N","YPH","5520","YVP","154","",0,"BET"
"3H","\N","YPJ","5508","YKG","5481","",0,"DHT DH8"
"3H","\N","YPJ","5508","YTQ","6728","",0,"DHT DH8"
"3H","\N","YPJ","5508","YVP","154","",0,"DHT"
"3H","\N","YPX","6727","AKV","5506","",0,"DH8"
"3H","\N","YPX","6727","YGL","62","",0,"73M"
"3H","\N","YPX","6727","YPH","5520","",0,"DH8"
"3H","\N","YPX","6727","YVP","154","",0,"BET"
"3H","\N","YQB","111","YKL","80","",0,"DH8"
"3H","\N","YQB","111","YUL","146","",0,"DH8"
"3H","\N","YQC","5499","YKG","5481","",0,"DH8"
"3H","\N","YQC","5499","YWB","7253","",0,"DH8"
"3H","\N","YSK","5529","YGW","5496","",0,"DH8"
"3H","\N","YSK","5529","YUD","5515","",0,"DH8"
"3H","\N","YTQ","6728","YPJ","5508","",0,"DHT DH8"
"3H","\N","YTQ","6728","YVP","154","",0,"DHT DH8"
"3H","\N","YUD","5515","YGW","5496","",0,"DH8"
"3H","\N","YUD","5515","YPH","5520","",0,"DH8"
"3H","\N","YUD","5515","YSK","5529","",0,"DH8"
"3H","\N","YUL","146","YGL","62","",0,"73M"
"3H","\N","YUL","146","YGW","5496","",0,"DH8"
"3H","\N","YUL","146","YQB","111","",0,"DH8"
"3H","\N","YUL","146","YUY","149","",0,"DH8"
"3H","\N","YUY","149","YGW","5496","",0,"DH8"
"3H","\N","YUY","149","YUL","146","",0,"DH8"
"3H","\N","YVP","154","XGR","5512","",0,"DHT BET"
"3H","\N","YVP","154","YGW","5496","",0,"BET"
"3H","\N","YVP","154","YKG","5481","",0,"DH8"
"3H","\N","YVP","154","YKL","80","",0,"DH8 BET"
"3H","\N","YVP","154","YPH","5520","",0,"BET"
"3H","\N","YVP","154","YPJ","5508","",0,"DHT"
"3H","\N","YVP","154","YPX","6727","",0,"BET"
"3H","\N","YVP","154","YTQ","6728","",0,"DHT DH8"
"3H","\N","YWB","7253","YQC","5499","",0,"DH8"
"3H","\N","YWB","7253","YZG","5535","",0,"DH8"
"3H","\N","YWK","161","YKL","80","",0,"BET"
"3H","\N","YWK","161","YZV","202","",0,"BET"
"3H","\N","YZG","5535","YIK","5504","",0,"DH8"
"3H","\N","YZG","5535","YWB","7253","",0,"DH8"
"3H","\N","YZV","202","YKL","80","",0,"BET DH8"
"3H","\N","YZV","202","YWK","161","",0,"BET"
"3U","4608","SHE","4144","YVR","156","",0,"330"
"3U","4608","YVR","156","SHE","4144","",0,"330"
"4K","29","YGZ","5498","YRB","128","",0,"DHT"
"4K","29","YRB","128","YGZ","5498","",0,"DHT"
"4N","341","YEG","49","YXY","176","",0,"737"
"4N","341","YLW","87","YVR","156","",0,"737"
"4N","341","YLW","87","YXY","176","",0,"737"
"4N","341","YOW","100","YZF","196","",0,"737"
"4N","341","YVR","156","YLW","87","",0,"737"
"4N","341","YVR","156","YXY","176","",0,"737"
"4N","341","YXY","176","YLW","87","",0,"737"
"4N","341","YXY","176","YVR","156","",0,"737"
"4N","341","YXY","176","YYC","178","",0,"737"
"4N","341","YXY","176","YZF","196","",0,"737"
"4N","341","YYC","178","YEG","49","",0,"737"
"4N","341","YZF","196","YOW","100","",0,"737"
"4N","341","YZF","196","YXY","176","",0,"737"
"5T","1623","YBK","29","YCS","5487","Y",0,"ATR"
"5T","1623","YBK","29","YXN","5534","Y",0,"ATR"
"5T","1623","YCB","32","YCO","37","",0,"DH8 73M"
"5T","1623","YCB","32","YYH","183","",0,"DH8"
"5T","1623","YCB","32","YZF","196","",0,"DH8 73M"
"5T","1623","YCO","37","YCB","32","",0,"DH8 73M"
"5T","1623","YCO","37","YZF","196","",0,"DH8 73M"
"5T","1623","YCS","5487","YBK","29","Y",0,"AT4"
"5T","1623","YCS","5487","YRT","132","Y",0,"ATR AT4"
"5T","1623","YCY","40","YFB","55","",0,"DH8"
"5T","1623","YCY","40","YIO","75","",0,"DH8"
"5T","1623","YEG","49","YZF","196","",0,"73M 733"
"5T","1623","YEK","50","YXN","5534","Y",0,"ATR AT4"
"5T","1623","YEK","50","YYQ","187","Y",0,"ATR AT4"
"5T","1623","YEV","54","YVQ","155","",0,"73M 733"
"5T","1623","YFB","55","YCY","40","",0,"DH8"
"5T","1623","YFB","55","YGT","5495","",0,"BE1 DH8"
"5T","1623","YFB","55","YOW","100","",0,"73M"
"5T","1623","YFB","55","YRT","132","",0,"73M"
"5T","1623","YFB","55","YTE","140","",0,"BE1 DH8"
"5T","1623","YFB","55","YUX","148","",0,"BE1 DH8"
"5T","1623","YFB","55","YXP","170","",0,"DH8"
"5T","1623","YGT","5495","YFB","55","",0,"DH8"
"5T","1623","YGT","5495","YIO","75","",0,"DH8"
"5T","1623","YGT","5495","YUX","148","",0,"DH8 BE1"
"5T","1623","YHK","69","YYH","183","",0,"DH8"
"5T","1623","YHK","69","YZF","196","",0,"DH8"
"5T","1623","YIO","75","YCY","40","",0,"DH8"
"5T","1623","YIO","75","YGT","5495","",0,"DH8"
"5T","1623","YOW","100","YFB","55","",0,"73M"
"5T","1623","YRT","132","YBK","29","Y",0,"AT4"
"5T","1623","YRT","132","YCS","5487","Y",0,"ATR AT4"
"5T","1623","YRT","132","YEK","50","",1,"ATR"
"5T","1623","YRT","132","YFB","55","",0,"73M"
"5T","1623","YRT","132","YUT","147","Y",0,"AT4"
"5T","1623","YRT","132","YYQ","187","Y",0,"ATR FRJ AT4"
"5T","1623","YRT","132","YZF","196","",0,"73M"
"5T","1623","YRT","132","YZS","41","Y",0,"ATR AT4"
"5T","1623","YTE","140","YFB","55","",0,"BE1 DH8"
"5T","1623","YTH","141","YYQ","187","Y",0,"ATR"
"5T","1623","YUX","148","YFB","55","",0,"DH8 BE1"
"5T","1623","YUX","148","YGT","5495","",0,"BE1 DH8"
"5T","1623","YVM","152","YXP","170","",0,"DH8"
"5T","1623","YVQ","155","YEV","54","",0,"73M 733"
